,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.001,std_ncluster_0.001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
201,100,1.0,0.3,0.0,0.0,0.1,1000000,0.05;0.5;0.95,1.361205463392954,0.8681427141017853,0.0417862297599999,0.1534552584165808,239184.98,330441.7921992894,1.6214839308684057,1.6712587462139534,576,0.501733246,0.1171623864559848,0.5070826,0.0656,0.8393,0.0730999999999999,0.0656,0.2625965914560201,0.2461849968033225,0.2988015131349038,0.3820153753287039,0.07318817205191988
202,100,1.0,0.2,1.5,1.5,0.4,1000000,0.5,3.884863357437984,0.7495167424227979,0.145427727082,0.2234903183278364,24.16,4.879807911437216,6.107580530823779,1.797802933193195,576,0.4999413478000001,0.2661430824858703,0.4999470000000001,0.055,0.4073,0.1085,0.1273999999999999,1.574748823353432,0.1245362585563622,2.0746644389628432,0.2368826337744228,0.5081664289974959
203,100,1.0,0.2,1.25,1.25,0.2,1000000,0.0,4.233440312586027,2.285836952550235,0.15989197132591,0.2554073475456249,52.16,9.24276402753456,9.268523942193474,3.25515486547143,576,0.4743867454150001,0.2997007690270996,0.520268155,0.2133,0.191,0.0595999999999999,0.2133,1.4001446387420564,0.2503143368020372,1.9582417320094985,0.4557825491601871,0.4796499565812245
204,100,1.0,0.4,0.75,0.75,0.3,1000000,0.05;0.95,1.7690079674893298,0.2534677131141213,0.1884739106299999,0.3657604674649654,47.72,6.518164208307785,2.195481676011505,0.4561284770714553,576,0.522978163,0.4049660676742367,0.57170335,0.4743,0.0,0.5257,0.4743,0.6023396038830932,0.1374878705355684,0.6023396038830932,0.1374878705355684,0.1475365171352993
205,100,1.0,0.4,1.25,1.25,0.2,1000000,0.0,1.3530637687116167,0.3708380125343721,0.06321909384663,0.1893880385338419,71.46,13.052667206824864,3.781459196750474,2.381583878077071,576,0.2377636868589999,0.1552390975103531,0.307249556,0.6069,0.188,0.0033,0.6069,0.3231736323860481,0.2934206467587346,0.5104308446310248,0.4720083958037022,0.12502446887073146
206,100,1.0,0.3,1.5,1.5,0.1,1000000,0.0,2.0342670617003744,0.9409990515258516,0.12560721635694,0.2560068848872529,120.72,18.84979436160372,6.067028603021988,1.5318558046924486,576,0.4075058563839999,0.2711178487379745,0.4877052369999999,0.3188,0.2415,0.0133,0.3188,0.7375192894882726,0.3140777002060904,1.082415258602356,0.4551317888878641,0.26512581327674245
207,100,1.0,0.2,0.5,0.5,0.5,1000000,0.5,3.775333771640687,0.7419733062292939,0.1434071565919999,0.2222786579283837,31.45,20.49310058817776,4.552407166243495,1.4240105631398643,576,0.5022277026,0.2640967852433641,0.4999689999999999,0.0326,0.4214,0.1361,0.1099,1.3948368349900055,0.1482962338825368,1.887288307846792,0.2891707181827102,0.46227068911764746
208,100,1.0,0.5,0.75,0.75,0.4,1000000,0.05;0.5;0.95,19.323503916680533,1.5102250919432485,0.05140084805,0.0740765356967849,1000000.0,0.0,52.69776151285198,4.686255012431156,576,0.311568683,0.0899693288083521,0.313262,0.0136,0.103,0.0088,0.096,1.3139392415781497,0.0665342075062396,3.281707785086914,0.0762942404450155,0.8038185331766639
209,100,1.0,0.2,1.5,1.5,0.1,1000000,0.05;0.95,3.894320429172237,1.4291986817021016,0.18925628971,0.2965076914925076,108.95,14.956080483680994,5.861806052757657,2.03638384097501,576,0.500286293,0.3500995800443386,0.4728364,0.2964,0.2381999999999999,0.3064,0.2964,1.3651282489797745,0.242872068549571,1.6924221384565226,0.4520619795780932,0.41454034604540674
210,100,1.0,0.5,1.0,1.0,0.4,1000000,0.0,1.0321506736241406,0.0800567015211551,0.00979672315286,0.0828681854537376,37.51,3.636223482147543,1.2334221500622375,0.4970747402212182,576,0.0140135481619999,0.0493343023954504,0.0073280471,0.981,0.0,0.0008,0.981,0.0601347906979414,0.1010333922487223,0.0626214078945197,0.106445723956506,0.015338430943782904
